run_id,R² Val,R² Test,units,depth,shrink_factor,lr,l2,dropout,batch_size,epochs
113,0.6478114259541037,0.6287894831791196,128,3,2.0,0.0005823356385459966,3.348352207489827e-05,0.1773940802218636,32,208
114,0.5989939056176512,0.5744019938645275,128,3,2.0,0.00032169548738041303,1.5702209211105752e-05,0.27712864691284433,16,153
115,0.674063452758998,0.6586962333803674,256,3,2.0,0.00030793122457642755,0.000710604797900035,0.1479512066683815,32,244
116,0.6299556306638354,0.6052203486479883,128,4,1.5,0.005824668805944016,4.614030333340599e-05,0.10069188588815499,32,140
117,0.6909904269793598,0.6725244153166625,256,3,1.5,0.000363385718242743,8.602931621182131e-05,0.14249850305106554,16,246
118,0.6058347618892597,0.5689972519114759,64,3,1.5,0.006139727364571466,9.407145423526037e-05,0.27624308200841485,16,135
119,0.6338251022283259,0.6181569535882999,128,2,1.5,0.0016639984797417954,1.2166724881228796e-05,0.2709026292376373,16,252
120,0.6101087912556389,0.592570872187219,128,3,2.0,0.006417222259334236,1.88500024664431e-05,0.13931574509728067,16,278
121,0.6039782887059899,0.5827330879948533,128,3,1.5,0.00013629141056998114,0.00011375561130502639,0.2523787631171117,16,133
122,0.6183169999540727,0.5960807227988778,64,2,1.0,0.00018362515827717598,0.000934907973379953,0.20824402223476973,32,245
123,0.6079417458976875,0.5888308038279568,64,2,1.5,0.0021440508494769855,0.000898963166294976,0.22344460370324182,16,181
124,0.6166246425831051,0.5933553357062256,64,3,1.5,0.0001727688059422609,0.0002183082886674416,0.16364125547713698,32,196
125,0.4287125038511803,0.39842424608786275,128,4,1.5,0.0002808988619285555,0.0006396948657664447,0.2989471907086656,16,261
126,0.6517053660979985,0.6314840375033057,256,3,2.0,0.006301841127265675,1.3696728932331244e-05,0.23773294384927177,16,207
127,0.6040270261666152,0.5854783974051201,128,4,1.5,0.007964603387157708,5.194543113074551e-05,0.12848019519179513,16,228
128,0.47472453711402496,0.44754246799735964,128,4,2.0,0.00011311373494715663,0.00012583735760659148,0.2969716738820378,16,289
129,0.5488249302466548,0.5303166087785354,256,4,2.0,0.006947001495495119,0.0006613437443350939,0.16639820577477307,16,126
130,0.5540471145102959,0.4979603197473239,64,3,1.5,0.003356059248894325,0.00012659051643866336,0.19847930185994567,16,104
131,0.6302974137130923,0.6072862485743373,256,4,1.5,0.00018497030780838426,0.0002502155441928068,0.22115039444029036,32,183
132,0.6679999562897336,0.6508632685239395,256,3,1.5,0.0034634510011029677,1.5414472480191573e-05,0.25740185165173946,16,163
133,0.640738199820172,0.6189800020504761,256,4,1.5,0.0006718444556125006,3.929725503163274e-05,0.2650546196379178,16,246
134,0.615698407751438,0.6059441709782875,128,2,1.5,0.0021366149730209713,0.0005030560823789291,0.25216434204922056,32,139
135,0.6563617398323043,0.6389887657729605,128,4,2.0,0.000642818247401239,1.686164835885661e-05,0.1447005899487614,16,272
136,0.6692232383069664,0.6445707688226648,256,2,2.0,0.0004829238824839938,8.800579698061446e-05,0.19727911221708028,32,122
137,0.672503355367964,0.6391769542917827,256,2,2.0,0.0005650558528990432,2.859440831132095e-05,0.21999971361722437,32,131
138,0.6616140292607712,0.6361193109038281,64,2,1.0,0.0005414557112333281,0.00021519666722416193,0.12393851235559672,16,144
139,0.6191222938651552,0.5989477306924764,64,3,1.5,0.005014926338329865,0.0002809734430231456,0.12047234687911311,16,166
140,0.5489525513818454,0.5309076553672258,64,4,2.0,0.0025842071706397123,4.5484123788253126e-05,0.14917740683820263,16,163
141,0.6230594961675153,0.6030165159214755,128,3,1.0,0.000339556503618522,3.623561042523505e-05,0.2173781576759355,16,300
142,0.5235280612979043,0.4914128619313698,128,4,2.0,0.0015460584333308444,0.00018353817114524572,0.2849734670744912,32,127
143,0.6253402374579511,0.6154953484006868,128,2,1.5,0.0023925856102734286,1.9442167403129026e-05,0.2033599750826668,16,135
144,0.6368465494775366,0.6174328129918618,128,4,1.0,0.0002273476423861716,0.0009989270686092731,0.1788871666493728,32,157
145,0.6497776964788248,0.6334852812144676,128,2,1.5,0.0001937096455219011,6.748576329931969e-05,0.2755842606247182,32,225
146,0.5993187315859874,0.5788308639889417,128,4,1.0,0.00030147383450602214,0.0002645433647584391,0.23003094704900273,16,171
147,0.5951292165745948,0.5738218134496187,64,2,2.0,0.000666437678959134,0.0009999740367662017,0.21550797942476305,32,209
148,0.2408374653900638,0.20507591846288298,64,4,2.0,0.00013624814649477974,0.0002842561116749733,0.21287045188385667,32,149
149,0.6573269406841065,0.6192422033994354,256,2,1.5,0.000445068909037929,0.0004803451481151782,0.10418010639228797,16,274
150,0.5916677327406901,0.5768331999917609,64,4,1.0,0.00048288374066743784,9.364459093195913e-05,0.1205142493867359,32,259
151,0.5519461947876616,0.5314208354229795,64,3,2.0,0.0007172057072387909,6.952430954834283e-05,0.21698605104513946,32,199
152,0.627594572252788,0.61016096477649,256,2,1.0,0.00336946685135157,0.0007365570755385083,0.24956835878414904,32,121
153,0.6100953820134676,0.5885502313334561,256,3,1.5,0.0028036515131117054,0.0004449529853688058,0.1815735310151782,32,143
154,0.6835817878966153,0.6642301738299907,256,4,1.5,0.00032285566978907586,1.5628924394783626e-05,0.12947761841087063,16,177
155,0.6086784995272503,0.589680269789887,256,3,2.0,0.00024674016023347976,4.0025410336553104e-05,0.28873113805792006,32,112
156,0.5791422058876348,0.5585519062742583,256,2,2.0,0.007673116021620484,7.758753097693703e-05,0.15381546680437616,32,107
157,0.581331109985148,0.5626995414719707,256,4,1.0,0.004098125358149665,7.948288752222357e-05,0.2539379263533557,16,298
158,0.6047149770172094,0.5856203245035885,128,4,1.5,0.002297446283027158,0.0003320522176956095,0.12276149188313212,32,159
159,0.6425555694274045,0.626407595096178,128,3,1.5,0.0017152450736238917,0.00024114709749632567,0.21282665653378374,16,159
160,0.6369739710651261,0.6163679720719663,128,2,1.5,0.004595005343390909,1.2954594910594096e-05,0.2280386037290989,32,239
